generation,v4_nodes,v4_action,v4_p_m,v4_p_s,v4_p_i,v5_nodes,v5_action,v5_p_m,v5_p_s,v5_p_i
816,32,M,0.849,0.058,0.092,102,M,0.815,0.068,0.118
817,32,M,0.86,0.034,0.106,102,M,0.863,0.113,0.024
818,32,M,0.906,0.027,0.067,102,S,0.034,0.849,0.118
819,32,M,0.779,0.104,0.116,103,M,0.785,0.12,0.095
820,32,S,0.033,0.908,0.059,103,S,0.098,0.842,0.06
821,32,M,0.825,0.089,0.085,103,M,0.838,0.11,0.052
822,31,M,0.866,0.089,0.044,104,M,0.827,0.097,0.076
823,31,S,0.06,0.911,0.029,103,S,0.094,0.884,0.022
824,31,I,0.124,0.085,0.791,104,I,0.118,0.033,0.849
825,32,M,0.791,0.116,0.092,103,M,0.897,0.027,0.076
826,32,M,0.873,0.043,0.084,104,M,0.865,0.07,0.066
827,32,M,0.85,0.037,0.112,104,M,0.89,0.042,0.067
828,32,M,0.812,0.127,0.061,105,M,0.882,0.093,0.025
829,31,I,0.14,0.09,0.77,104,I,0.123,0.036,0.841
830,31,M,0.774,0.113,0.113,104,M,0.833,0.046,0.121
831,32,I,0.088,0.071,0.84,105,I,0.07,0.108,0.823
832,32,M,0.879,0.033,0.088,105,M,0.923,0.048,0.028
833,32,M,0.875,0.086,0.039,106,M,0.856,0.12,0.023
834,32,S,0.097,0.8,0.103,106,S,0.058,0.821,0.121
835,32,I,0.088,0.105,0.808,105,I,0.144,0.058,0.798
836,32,I,0.084,0.063,0.853,107,I,0.124,0.108,0.768
837,32,I,0.03,0.074,0.896,107,I,0.069,0.106,0.825
838,32,M,0.779,0.117,0.104,107,M,0.887,0.085,0.028
839,32,S,0.099,0.823,0.077,106,S,0.108,0.837,0.055
840,32,I,0.103,0.083,0.814,107,I,0.112,0.106,0.782
841,32,M,0.873,0.056,0.071,107,M,0.834,0.063,0.103
842,32,M,0.806,0.086,0.108,108,M,0.831,0.068,0.101
843,32,M,0.881,0.043,0.076,107,M,0.882,0.022,0.097
844,32,M,0.802,0.123,0.075,109,M,0.8,0.117,0.082
845,33,M,0.773,0.118,0.11,108,M,0.829,0.042,0.13
846,32,S,0.044,0.853,0.103,109,S,0.033,0.94,0.028
847,32,M,0.844,0.096,0.06,108,M,0.796,0.111,0.093
848,32,M,0.831,0.091,0.078,109,S,0.075,0.803,0.122
849,33,M,0.774,0.114,0.111,108,M,0.799,0.128,0.073
850,32,S,0.072,0.832,0.096,109,S,0.046,0.896,0.058
851,32,M,0.817,0.091,0.093,109,M,0.855,0.034,0.11
852,33,M,0.826,0.112,0.062,110,M,0.831,0.112,0.056
853,32,M,0.883,0.04,0.077,110,M,0.856,0.046,0.098
854,33,S,0.041,0.888,0.072,109,S,0.035,0.905,0.06
855,33,M,0.858,0.053,0.089,110,I,0.038,0.107,0.855
856,33,M,0.915,0.042,0.042,109,I,0.051,0.037,0.912
857,33,M,0.811,0.102,0.086,110,M,0.847,0.056,0.097
858,32,M,0.875,0.045,0.079,110,M,0.854,0.084,0.062
859,33,M,0.774,0.117,0.109,112,M,0.875,0.059,0.065
860,32,M,0.854,0.03,0.117,110,M,0.804,0.097,0.099
861,32,M,0.869,0.056,0.075,111,M,0.905,0.07,0.025
862,32,M,0.855,0.047,0.098,112,M,0.816,0.087,0.097
863,32,M,0.896,0.03,0.074,112,M,0.891,0.041,0.068
864,33,M,0.846,0.043,0.111,113,M,0.765,0.114,0.121
865,33,M,0.857,0.042,0.102,111,M,0.813,0.117,0.07
866,33,I,0.15,0.077,0.773,112,I,0.076,0.073,0.851
867,32,I,0.063,0.057,0.881,112,I,0.099,0.05,0.851
868,33,M,0.831,0.124,0.045,114,M,0.875,0.042,0.083
869,33,M,0.89,0.069,0.041,112,M,0.805,0.105,0.09
870,33,M,0.791,0.117,0.092,114,M,0.904,0.024,0.072
871,32,M,0.898,0.036,0.066,113,M,0.847,0.028,0.125
872,33,I,0.08,0.131,0.789,114,I,0.091,0.143,0.766
873,33,M,0.876,0.035,0.089,114,M,0.853,0.055,0.093
874,33,S,0.083,0.792,0.125,114,S,0.123,0.813,0.064
875,33,M,0.892,0.022,0.086,115,M,0.908,0.068,0.024
876,33,M,0.877,0.087,0.037,114,M,0.841,0.108,0.051
877,33,M,0.857,0.096,0.046,115,M,0.881,0.028,0.091
878,33,M,0.863,0.063,0.073,116,M,0.848,0.115,0.038
879,33,M,0.844,0.064,0.093,115,M,0.817,0.077,0.106
880,33,M,0.84,0.081,0.079,116,M,0.846,0.036,0.118
881,33,S,0.065,0.881,0.054,115,S,0.051,0.855,0.093
882,33,M,0.813,0.096,0.091,116,M,0.853,0.046,0.101
883,33,M,0.876,0.032,0.093,115,M,0.849,0.064,0.087
884,33,M,0.842,0.1,0.058,115,M,0.906,0.066,0.027
885,34,M,0.858,0.065,0.077,116,M,0.792,0.106,0.102
886,33,S,0.082,0.843,0.075,118,S,0.031,0.863,0.106
887,34,S,0.059,0.844,0.097,117,S,0.088,0.841,0.071
888,34,M,0.785,0.119,0.096,118,M,0.793,0.114,0.093
889,33,M,0.785,0.113,0.102,118,M,0.87,0.064,0.066
890,33,M,0.9,0.078,0.023,117,M,0.799,0.106,0.095
891,34,M,0.908,0.025,0.067,117,S,0.049,0.907,0.043
892,33,I,0.087,0.036,0.877,118,I,0.114,0.133,0.753
893,34,S,0.096,0.798,0.106,117,S,0.064,0.869,0.067
894,33,M,0.854,0.058,0.088,117,M,0.937,0.031,0.033
895,34,M,0.862,0.108,0.029,119,M,0.837,0.112,0.051
896,33,M,0.928,0.025,0.047,120,M,0.834,0.104,0.062
897,33,M,0.823,0.134,0.044,119,M,0.865,0.059,0.076
898,33,S,0.125,0.793,0.082,119,S,0.087,0.814,0.1
899,34,M,0.841,0.112,0.047,120,M,0.772,0.122,0.106
900,33,M,0.848,0.128,0.024,120,M,0.826,0.108,0.066
901,33,M,0.857,0.08,0.063,120,I,0.044,0.079,0.877
902,34,M,0.792,0.094,0.114,120,M,0.857,0.118,0.025
903,34,M,0.844,0.039,0.117,121,M,0.875,0.102,0.023
904,34,M,0.874,0.058,0.068,120,S,0.044,0.912,0.044
905,33,S,0.098,0.827,0.075,120,S,0.052,0.919,0.03
906,34,M,0.814,0.105,0.081,120,M,0.869,0.04,0.091
907,34,S,0.115,0.772,0.113,122,S,0.046,0.924,0.03
908,34,S,0.093,0.871,0.035,122,S,0.04,0.899,0.061
909,34,M,0.842,0.036,0.122,122,M,0.947,0.026,0.027
910,34,M,0.885,0.029,0.086,122,M,0.84,0.089,0.071
911,34,M,0.871,0.066,0.063,122,M,0.866,0.058,0.076
912,34,M,0.832,0.117,0.052,123,M,0.843,0.074,0.084
913,34,S,0.106,0.829,0.066,122,M,0.817,0.082,0.102
914,34,M,0.849,0.049,0.102,123,M,0.872,0.04,0.088
915,33,I,0.133,0.031,0.835,122,I,0.096,0.119,0.785
916,34,M,0.86,0.07,0.07,123,M,0.828,0.103,0.069
917,34,M,0.927,0.034,0.039,123,M,0.885,0.077,0.038
918,34,M,0.846,0.05,0.104,124,M,0.927,0.043,0.031
919,34,M,0.906,0.064,0.031,124,M,0.875,0.066,0.059
920,34,M,0.874,0.051,0.075,124,M,0.772,0.115,0.112
921,34,S,0.029,0.927,0.044,124,S,0.076,0.892,0.032
922,34,S,0.07,0.837,0.093,125,S,0.13,0.83,0.04
923,34,M,0.866,0.045,0.088,124,M,0.819,0.078,0.103
924,34,M,0.869,0.079,0.053,124,M,0.846,0.117,0.037
925,34,M,0.916,0.06,0.024,124,S,0.037,0.866,0.098
926,34,M,0.872,0.065,0.064,125,M,0.838,0.062,0.1
927,34,M,0.808,0.082,0.11,125,I,0.121,0.076,0.803
928,34,M,0.874,0.097,0.029,125,M,0.895,0.04,0.065
929,34,M,0.811,0.105,0.085,126,M,0.85,0.107,0.043
930,34,M,0.871,0.1,0.028,127,I,0.032,0.027,0.941
931,34,M,0.83,0.057,0.113,126,S,0.108,0.797,0.095
932,34,M,0.877,0.04,0.083,127,M,0.818,0.081,0.101
933,35,M,0.881,0.073,0.046,126,M,0.792,0.099,0.11
934,34,M,0.843,0.126,0.031,128,M,0.905,0.06,0.035
935,35,M,0.821,0.057,0.122,128,M,0.796,0.081,0.123
936,34,M,0.893,0.05,0.057,128,M,0.877,0.025,0.098
937,34,M,0.853,0.089,0.058,127,I,0.086,0.075,0.839
938,34,M,0.827,0.095,0.078,128,M,0.763,0.118,0.119
939,35,M,0.897,0.056,0.047,128,M,0.908,0.055,0.036
940,35,M,0.793,0.121,0.086,129,M,0.872,0.097,0.031
941,35,M,0.867,0.091,0.042,129,M,0.876,0.084,0.04
942,35,M,0.825,0.109,0.066,129,M,0.842,0.113,0.045
943,35,M,0.849,0.104,0.047,128,M,0.882,0.053,0.065
944,34,M,0.843,0.102,0.055,129,M,0.799,0.078,0.124
945,35,M,0.802,0.082,0.116,129,I,0.106,0.106,0.788
946,35,M,0.815,0.082,0.103,130,M,0.854,0.087,0.059
947,35,I,0.038,0.102,0.86,131,I,0.11,0.101,0.79
948,34,S,0.035,0.923,0.042,130,M,0.89,0.059,0.05
949,35,M,0.823,0.042,0.135,130,M,0.91,0.031,0.06
950,35,M,0.876,0.038,0.087,130,M,0.921,0.039,0.04
951,35,M,0.897,0.058,0.045,131,M,0.789,0.106,0.105
952,35,M,0.791,0.102,0.108,131,M,0.803,0.109,0.089
953,35,S,0.064,0.879,0.057,131,S,0.065,0.824,0.112
954,34,M,0.865,0.083,0.052,131,M,0.844,0.081,0.075
955,35,S,0.044,0.864,0.092,132,S,0.029,0.891,0.08
956,35,M,0.88,0.026,0.095,132,M,0.784,0.097,0.119
957,35,S,0.056,0.866,0.077,132,S,0.035,0.931,0.035
958,35,M,0.901,0.057,0.041,132,M,0.862,0.085,0.053
959,35,M,0.919,0.043,0.038,133,M,0.901,0.034,0.065
960,35,M,0.811,0.099,0.09,133,M,0.918,0.044,0.039
961,35,M,0.818,0.104,0.078,133,M,0.759,0.12,0.121
962,35,M,0.873,0.025,0.102,133,M,0.921,0.049,0.029
963,35,S,0.066,0.911,0.023,133,S,0.09,0.848,0.063
964,35,S,0.065,0.864,0.071,134,S,0.122,0.776,0.102
965,35,S,0.101,0.803,0.096,134,S,0.081,0.851,0.068
966,35,M,0.897,0.043,0.06,135,M,0.831,0.098,0.07
967,35,M,0.836,0.132,0.032,135,M,0.936,0.031,0.033
968,35,S,0.03,0.924,0.046,134,M,0.887,0.035,0.078
969,36,M,0.812,0.079,0.109,136,M,0.827,0.13,0.043
970,35,M,0.819,0.076,0.104,135,M,0.878,0.096,0.025
971,36,S,0.103,0.852,0.046,135,S,0.09,0.869,0.04
972,36,M,0.886,0.07,0.044,137,M,0.853,0.061,0.086
973,35,M,0.849,0.087,0.063,135,M,0.772,0.125,0.102
974,36,M,0.827,0.116,0.057,137,M,0.784,0.102,0.114
975,35,M,0.843,0.042,0.116,136,M,0.846,0.048,0.106
976,35,M,0.786,0.122,0.093,136,M,0.834,0.105,0.062
977,36,M,0.88,0.057,0.063,137,M,0.853,0.083,0.064
978,36,M,0.859,0.09,0.051,136,M,0.877,0.04,0.083
979,35,M,0.887,0.033,0.08,136,M,0.884,0.093,0.023
980,35,S,0.078,0.839,0.082,137,S,0.077,0.873,0.05
981,36,M,0.791,0.131,0.077,138,M,0.816,0.071,0.114
982,36,M,0.855,0.058,0.087,137,M,0.827,0.079,0.095
983,36,M,0.883,0.085,0.032,137,M,0.82,0.078,0.102
984,36,M,0.864,0.111,0.025,138,M,0.777,0.096,0.127
985,36,M,0.925,0.029,0.046,138,M,0.843,0.112,0.046
986,36,M,0.847,0.084,0.07,140,M,0.899,0.024,0.078
987,36,M,0.924,0.028,0.048,138,M,0.837,0.057,0.106
988,36,M,0.81,0.129,0.062,139,M,0.851,0.108,0.042
989,36,M,0.853,0.031,0.117,139,M,0.898,0.081,0.021
990,35,M,0.903,0.033,0.064,141,M,0.843,0.117,0.04
991,36,M,0.851,0.085,0.063,141,I,0.118,0.106,0.776
992,35,M,0.815,0.071,0.113,140,M,0.814,0.069,0.117
993,36,M,0.879,0.031,0.09,141,M,0.82,0.087,0.094
994,35,S,0.058,0.881,0.061,140,S,0.11,0.834,0.056
995,36,M,0.862,0.052,0.086,141,M,0.884,0.087,0.028
996,36,M,0.853,0.086,0.061,142,S,0.112,0.821,0.067
997,36,M,0.818,0.089,0.092,142,M,0.84,0.077,0.084
998,36,M,0.787,0.11,0.103,141,M,0.794,0.092,0.114
999,36,M,0.909,0.063,0.028,141,M,0.816,0.07,0.114
1000,36,M,0.841,0.086,0.073,142,I,0.038,0.046,0.916
1001,36,M,0.786,0.119,0.094,143,M,0.887,0.089,0.024
1002,36,M,0.877,0.047,0.076,142,M,0.854,0.087,0.059
1003,36,M,0.813,0.077,0.111,144,M,0.877,0.052,0.071
1004,36,M,0.831,0.083,0.086,144,M,0.935,0.033,0.031
1005,36,M,0.86,0.044,0.095,144,M,0.913,0.062,0.025
1006,36,M,0.862,0.097,0.041,143,M,0.891,0.059,0.05
1007,37,M,0.857,0.032,0.111,144,M,0.91,0.065,0.025
1008,36,S,0.125,0.835,0.04,144,S,0.088,0.83,0.082
1009,36,M,0.862,0.108,0.03,144,M,0.884,0.066,0.05
1010,36,M,0.939,0.033,0.028,145,M,0.762,0.12,0.118
1011,36,M,0.938,0.029,0.033,146,I,0.046,0.039,0.915
1012,37,M,0.843,0.05,0.107,144,M,0.892,0.067,0.041
1013,37,M,0.916,0.046,0.038,145,M,0.864,0.106,0.03
1014,36,M,0.825,0.108,0.066,145,M,0.831,0.094,0.074
1015,36,M,0.865,0.046,0.089,145,M,0.845,0.088,0.067
1016,36,M,0.855,0.065,0.079,146,M,0.821,0.112,0.067
1017,37,S,0.058,0.908,0.034,147,S,0.052,0.849,0.099
1018,36,S,0.1,0.877,0.024,146,S,0.114,0.828,0.058
1019,36,M,0.834,0.076,0.089,146,M,0.851,0.059,0.09
1020,36,M,0.877,0.099,0.024,147,M,0.896,0.077,0.027
1021,37,M,0.831,0.04,0.129,147,M,0.901,0.07,0.029
1022,37,M,0.88,0.074,0.045,147,M,0.85,0.03,0.12
1023,37,S,0.063,0.859,0.078,147,S,0.109,0.843,0.048
1024,37,M,0.821,0.102,0.078,148,M,0.858,0.097,0.044
1025,37,M,0.841,0.111,0.048,148,M,0.917,0.037,0.045
1026,37,M,0.848,0.067,0.086,148,M,0.809,0.08,0.112
1027,37,M,0.819,0.125,0.056,149,M,0.825,0.064,0.112
1028,37,M,0.897,0.042,0.061,148,M,0.846,0.034,0.12
1029,37,M,0.923,0.025,0.052,149,M,0.805,0.108,0.087
1030,36,S,0.124,0.77,0.106,149,M,0.802,0.066,0.133
1031,37,M,0.867,0.084,0.048,150,M,0.884,0.031,0.085
1032,36,M,0.875,0.074,0.051,150,M,0.861,0.097,0.042
1033,37,M,0.867,0.095,0.038,150,M,0.932,0.038,0.03
1034,37,M,0.812,0.113,0.075,150,M,0.867,0.05,0.083
1035,37,M,0.885,0.041,0.074,150,M,0.835,0.105,0.06
1036,37,M,0.886,0.093,0.021,152,M,0.873,0.06,0.067
1037,37,M,0.839,0.063,0.099,152,M,0.817,0.117,0.067
1038,37,M,0.831,0.097,0.073,152,M,0.804,0.117,0.079
1039,37,S,0.137,0.807,0.056,152,S,0.081,0.892,0.027
1040,37,M,0.878,0.069,0.053,152,M,0.83,0.047,0.122
1041,37,S,0.069,0.822,0.109,152,S,0.105,0.831,0.064
1042,37,M,0.843,0.081,0.076,153,M,0.781,0.106,0.113
1043,37,M,0.865,0.054,0.082,152,M,0.854,0.105,0.042
1044,37,M,0.833,0.049,0.119,152,M,0.92,0.035,0.045
1045,38,S,0.035,0.859,0.106,154,S,0.04,0.9,0.06
1046,37,M,0.802,0.104,0.094,153,M,0.923,0.033,0.044
1047,37,M,0.864,0.103,0.033,153,M,0.912,0.045,0.043
1048,37,M,0.824,0.074,0.103,154,M,0.925,0.047,0.028
1049,37,M,0.763,0.124,0.113,154,M,0.823,0.09,0.087
1050,37,M,0.804,0.106,0.09,154,M,0.893,0.077,0.03
1051,38,M,0.861,0.065,0.074,155,M,0.907,0.033,0.061
1052,37,M,0.806,0.084,0.11,156,M,0.898,0.047,0.055
1053,37,M,0.776,0.103,0.121,154,M,0.786,0.11,0.104
1054,38,M,0.836,0.069,0.095,155,M,0.852,0.028,0.12
1055,37,S,0.04,0.838,0.122,155,S,0.053,0.836,0.111
1056,37,M,0.797,0.109,0.094,156,M,0.806,0.087,0.106
1057,38,M,0.825,0.064,0.111,157,M,0.82,0.118,0.062
1058,37,M,0.805,0.129,0.066,156,M,0.921,0.036,0.043
1059,37,M,0.912,0.028,0.061,157,I,0.066,0.043,0.891
1060,37,M,0.869,0.095,0.036,157,M,0.853,0.065,0.081
1061,38,M,0.834,0.12,0.046,158,M,0.946,0.03,0.024
1062,37,M,0.842,0.12,0.038,158,M,0.87,0.023,0.106
1063,38,M,0.852,0.079,0.069,157,M,0.85,0.126,0.025
1064,38,M,0.875,0.069,0.055,157,M,0.864,0.079,0.056
1065,37,S,0.112,0.786,0.102,159,S,0.103,0.821,0.076
1066,37,M,0.888,0.071,0.041,159,M,0.832,0.069,0.099
1067,37,M,0.894,0.05,0.056,158,M,0.873,0.076,0.05
1068,37,M,0.903,0.069,0.028,160,M,0.879,0.092,0.03
1069,38,M,0.879,0.026,0.096,159,M,0.838,0.089,0.073
1070,38,M,0.798,0.093,0.108,159,M,0.84,0.074,0.086
1071,37,S,0.048,0.93,0.022,160,S,0.123,0.795,0.082
1072,38,M,0.915,0.054,0.031,161,M,0.889,0.05,0.062
1073,38,M,0.819,0.09,0.091,160,M,0.792,0.096,0.112
1074,38,M,0.918,0.037,0.046,159,M,0.827,0.072,0.101
1075,38,I,0.13,0.137,0.733,161,I,0.122,0.074,0.804
1076,38,S,0.118,0.774,0.108,161,S,0.059,0.861,0.08
1077,38,M,0.899,0.032,0.069,161,M,0.863,0.101,0.036
1078,38,S,0.114,0.807,0.079,161,S,0.086,0.851,0.062
1079,38,M,0.822,0.083,0.095,161,M,0.819,0.08,0.101
1080,38,M,0.888,0.089,0.023,161,M,0.853,0.052,0.095
1081,38,S,0.072,0.831,0.097,161,S,0.084,0.793,0.124
1082,38,M,0.884,0.079,0.037,163,M,0.876,0.05,0.074
1083,38,M,0.89,0.03,0.08,163,M,0.919,0.025,0.057
1084,38,M,0.859,0.09,0.051,162,M,0.898,0.046,0.056
1085,38,M,0.854,0.076,0.069,163,M,0.839,0.089,0.072
1086,39,M,0.932,0.03,0.039,164,M,0.882,0.035,0.083
1087,38,M,0.909,0.048,0.042,164,S,0.046,0.883,0.071
1088,38,M,0.816,0.091,0.093,163,M,0.868,0.022,0.11
1089,38,M,0.864,0.028,0.107,164,M,0.813,0.125,0.062
1090,38,M,0.842,0.06,0.098,165,M,0.843,0.131,0.026
1091,38,S,0.07,0.835,0.096,164,I,0.074,0.098,0.828
1092,39,M,0.889,0.058,0.053,164,M,0.892,0.059,0.049
1093,39,M,0.878,0.072,0.051,165,M,0.88,0.032,0.087
1094,39,M,0.858,0.096,0.046,166,M,0.902,0.054,0.044
1095,39,M,0.857,0.114,0.028,166,M,0.809,0.098,0.093
1096,38,S,0.103,0.862,0.035,166,S,0.117,0.824,0.06
1097,39,M,0.879,0.024,0.097,165,M,0.843,0.118,0.04
1098,38,M,0.897,0.055,0.048,165,M,0.941,0.024,0.035
1099,38,M,0.869,0.072,0.059,167,M,0.811,0.106,0.083
1100,38,M,0.861,0.096,0.042,167,M,0.792,0.115,0.093
1101,38,I,0.031,0.133,0.835,167,I,0.094,0.118,0.788
1102,39,M,0.839,0.107,0.054,166,M,0.873,0.042,0.085
1103,39,S,0.058,0.904,0.038,167,S,0.072,0.815,0.113
1104,38,M,0.867,0.043,0.089,167,M,0.906,0.033,0.062
1105,38,S,0.049,0.838,0.113,169,S,0.069,0.825,0.106
1106,39,M,0.846,0.102,0.052,168,M,0.828,0.079,0.092
1107,39,M,0.82,0.094,0.086,168,M,0.857,0.048,0.095
1108,39,S,0.096,0.811,0.093,169,S,0.071,0.799,0.13
1109,39,M,0.829,0.062,0.109,168,M,0.884,0.041,0.075
1110,38,M,0.821,0.108,0.071,169,M,0.86,0.025,0.116
1111,38,M,0.857,0.086,0.057,169,M,0.872,0.039,0.089
1112,39,M,0.908,0.064,0.029,170,M,0.864,0.071,0.065
1113,39,M,0.863,0.032,0.105,169,M,0.883,0.036,0.081
1114,39,M,0.883,0.022,0.095,170,M,0.841,0.104,0.055
1115,38,M,0.825,0.077,0.098,171,M,0.805,0.13,0.065
1116,39,M,0.893,0.066,0.041,170,M,0.846,0.085,0.07
1117,39,M,0.867,0.076,0.057,171,M,0.888,0.074,0.039
1118,39,M,0.812,0.101,0.087,172,M,0.779,0.108,0.113
1119,39,M,0.918,0.033,0.049,171,M,0.769,0.115,0.116
1120,39,S,0.028,0.869,0.104,171,S,0.045,0.857,0.098
1121,39,S,0.086,0.848,0.066,172,S,0.072,0.845,0.083
1122,39,M,0.792,0.078,0.129,173,M,0.82,0.132,0.048
1123,39,M,0.798,0.108,0.094,172,M,0.926,0.028,0.047
1124,39,M,0.84,0.122,0.039,173,M,0.835,0.07,0.095
1125,39,M,0.801,0.076,0.123,173,M,0.856,0.078,0.066
1126,39,M,0.877,0.039,0.084,174,M,0.817,0.071,0.112
1127,39,M,0.858,0.099,0.043,174,M,0.87,0.098,0.032
1128,40,I,0.073,0.042,0.884,174,I,0.141,0.034,0.825
1129,39,M,0.865,0.047,0.088,174,M,0.766,0.113,0.122
1130,40,M,0.845,0.063,0.092,175,M,0.79,0.122,0.088
1131,39,M,0.854,0.058,0.088,175,M,0.875,0.1,0.025
1132,39,M,0.794,0.109,0.096,176,M,0.86,0.046,0.094
1133,39,S,0.079,0.838,0.082,175,S,0.078,0.807,0.115
1134,39,M,0.889,0.021,0.09,175,M,0.857,0.056,0.088
1135,39,S,0.074,0.827,0.098,176,S,0.102,0.81,0.088
1136,39,M,0.8,0.111,0.088,175,M,0.806,0.11,0.084
1137,40,M,0.892,0.036,0.072,177,M,0.85,0.111,0.039
1138,40,M,0.8,0.085,0.115,177,M,0.828,0.109,0.063
1139,40,M,0.871,0.077,0.052,177,M,0.864,0.053,0.082
1140,40,M,0.799,0.1,0.101,176,M,0.793,0.1,0.108
1141,39,M,0.84,0.115,0.045,177,M,0.866,0.074,0.06
1142,39,I,0.121,0.084,0.795,178,I,0.134,0.031,0.834
1143,40,M,0.852,0.107,0.041,178,M,0.794,0.118,0.088
1144,40,M,0.853,0.071,0.076,178,M,0.785,0.105,0.11
1145,40,I,0.076,0.117,0.807,179,I,0.126,0.04,0.834
1146,40,M,0.84,0.055,0.105,179,M,0.865,0.055,0.08
1147,40,M,0.769,0.114,0.117,178,M,0.892,0.062,0.046
1148,39,I,0.124,0.132,0.744,180,I,0.067,0.029,0.904
1149,40,M,0.868,0.056,0.076,179,M,0.837,0.065,0.098
1150,39,M,0.872,0.095,0.033,179,M,0.789,0.094,0.117
1151,40,M,0.841,0.039,0.12,179,M,0.811,0.106,0.083
1152,40,S,0.076,0.842,0.082,179,S,0.075,0.863,0.062
1153,40,M,0.851,0.06,0.088,180,M,0.776,0.108,0.116
1154,40,M,0.842,0.097,0.062,181,M,0.892,0.072,0.036
1155,39,M,0.815,0.078,0.107,181,M,0.901,0.058,0.041
1156,40,I,0.109,0.094,0.797,181,I,0.058,0.1,0.842
1157,40,S,0.115,0.853,0.033,182,S,0.076,0.844,0.08
1158,40,M,0.82,0.112,0.068,181,M,0.821,0.103,0.076
1159,40,M,0.837,0.085,0.078,181,M,0.863,0.094,0.042
1160,40,M,0.873,0.097,0.03,181,M,0.798,0.098,0.105
1161,40,M,0.864,0.066,0.07,183,M,0.826,0.086,0.087
1162,40,M,0.802,0.093,0.105,183,M,0.951,0.026,0.023
1163,40,S,0.033,0.922,0.045,183,S,0.103,0.779,0.118
1164,40,M,0.909,0.041,0.05,183,M,0.873,0.025,0.101
1165,40,M,0.901,0.034,0.065,184,M,0.928,0.034,0.038
1166,40,I,0.042,0.129,0.829,185,I,0.084,0.044,0.873
1167,40,M,0.891,0.064,0.045,183,M,0.891,0.05,0.06
1168,40,M,0.857,0.059,0.085,184,M,0.914,0.049,0.038
1169,40,I,0.069,0.044,0.887,184,I,0.024,0.115,0.861
1170,41,M,0.799,0.111,0.09,185,M,0.831,0.094,0.075
1171,40,M,0.839,0.081,0.08,185,M,0.845,0.037,0.118
1172,40,M,0.875,0.036,0.09,186,M,0.907,0.053,0.04
1173,40,M,0.853,0.035,0.112,186,M,0.915,0.032,0.053
1174,40,M,0.935,0.031,0.034,187,M,0.782,0.106,0.111
1175,41,S,0.089,0.85,0.062,186,S,0.103,0.853,0.044
1176,40,S,0.031,0.854,0.116,187,S,0.044,0.853,0.102
1177,40,M,0.943,0.024,0.033,187,M,0.888,0.031,0.081
1178,40,M,0.938,0.034,0.028,187,M,0.776,0.12,0.104
1179,41,S,0.037,0.937,0.026,188,S,0.059,0.847,0.094
1180,41,M,0.795,0.112,0.093,188,M,0.867,0.035,0.099
1181,41,I,0.088,0.081,0.831,188,I,0.088,0.03,0.882
1182,40,M,0.889,0.027,0.084,188,M,0.925,0.05,0.024
1183,41,M,0.819,0.091,0.09,188,M,0.811,0.092,0.096
1184,40,M,0.855,0.077,0.068,188,M,0.84,0.082,0.078
1185,40,M,0.876,0.094,0.03,189,M,0.896,0.035,0.069
1186,41,M,0.861,0.044,0.095,189,M,0.852,0.058,0.091
1187,41,M,0.768,0.111,0.122,190,M,0.906,0.026,0.068
1188,41,M,0.816,0.09,0.093,189,M,0.829,0.102,0.069
1189,40,M,0.817,0.11,0.073,190,M,0.783,0.109,0.108
1190,41,M,0.793,0.106,0.102,190,M,0.859,0.037,0.104
1191,41,S,0.086,0.889,0.026,190,S,0.11,0.863,0.027
1192,41,M,0.863,0.035,0.102,190,M,0.806,0.108,0.086
1193,41,S,0.058,0.856,0.086,191,S,0.098,0.874,0.028
1194,41,M,0.791,0.118,0.091,191,M,0.804,0.108,0.088
1195,41,M,0.871,0.089,0.04,191,M,0.789,0.117,0.094
1196,41,M,0.859,0.079,0.062,192,M,0.873,0.091,0.036
1197,41,M,0.853,0.07,0.077,192,M,0.845,0.078,0.077
1198,41,M,0.824,0.084,0.093,193,M,0.844,0.122,0.034
1199,41,M,0.798,0.093,0.109,192,M,0.921,0.034,0.045
1200,41,S,0.058,0.855,0.087,193,S,0.059,0.841,0.1
1201,41,S,0.092,0.806,0.102,193,S,0.097,0.816,0.087
1202,41,M,0.891,0.082,0.027,193,M,0.915,0.021,0.063
1203,41,S,0.037,0.899,0.064,193,S,0.067,0.881,0.052
1204,41,S,0.072,0.862,0.066,194,S,0.119,0.822,0.059
1205,41,M,0.874,0.028,0.098,195,M,0.85,0.091,0.059
1206,41,M,0.834,0.071,0.094,194,M,0.882,0.054,0.064
1207,41,S,0.07,0.849,0.081,195,S,0.053,0.869,0.078
1208,41,S,0.113,0.804,0.083,195,S,0.071,0.855,0.074
1209,41,I,0.078,0.089,0.833,196,I,0.136,0.114,0.751
1210,41,M,0.86,0.072,0.069,196,M,0.834,0.107,0.059
1211,41,M,0.856,0.102,0.042,196,M,0.838,0.048,0.113
1212,41,M,0.837,0.094,0.069,197,M,0.865,0.102,0.033
1213,42,M,0.86,0.022,0.118,196,M,0.802,0.079,0.119
1214,41,M,0.812,0.074,0.114,197,M,0.809,0.067,0.124
1215,41,M,0.908,0.043,0.048,196,M,0.877,0.057,0.066
1216,42,M,0.851,0.035,0.113,198,M,0.875,0.034,0.091
1217,41,I,0.032,0.113,0.855,197,S,0.068,0.868,0.064
1218,41,S,0.065,0.853,0.082,199,S,0.111,0.812,0.077
